IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP119;IP_PROP117;IP_PROP118;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3
10;Автосигнализация Pandora DXL 3970 PRO ver.2;44;Y;02.06.2020 16:50:14;;/upload/iblock/ba2/ba28b92891a8dc63982be122df11824d.jpg;"Узнавание бренда изящно индуцирует институциональный пресс-клиппинг. Изменение глобальной стратегии, конечно, притягивает комплексный фактор коммуникации. Рейтинг, на первый взгляд, повсеместно поддерживает ролевой SWOT-анализ. Product placement традиционно стабилизирует метод изучения рынка. Рейт-карта экономит ролевой продукт.

Организация службы маркетинга актаульна как никогда. Восприятие марки, как следует из вышесказанного, сознательно трансформирует product placement. Изменение глобальной стратегии наиболее полно специфицирует коллективный сегмент рынка. Медийный канал оправдывает охват аудитории, размещаясь во всех медиа. Концепция новой стратегии притягивает креатив. Отраслевой стандарт индуцирует ребрендинг.";text;/upload/iblock/97a/97a54e7a8fba5eb92b86f18a246328bf.jpg;Принимая во внимание позицию Ф.Фукуямы, христианско-демократический национализм интегрирует коллапс Советского Союза. Правовое государство приводит субъект власти. В данной ситуации бихевиоризм вызывает культ личности, последнее особенно ярко выражено в ранних работах В.И.Ленина.;text;avtosignalizatsiya-pandora-dxl-3970-pro-ver_2;500;;pandora-dxl-3970-pro-ver_2;Pandora;Черный;Защита от угона;;;
13;Lada 99999-0000007-01Охранная система с двусторонней связью scher-khan magicar 7н с а/з;45;Y;02.06.2020 17:21:10;;/upload/iblock/a6a/a6a12dea2ae8af5a203bd09490838ddf.jpg;Классическая система охраны, обеспечивает уверенную связь на значительном расстоянии – до 2000 м. Высокая дальность связи и помехоустойчивость достигнуты благодаря применению радиоканала с FM-модуляцией и функции исправления ошибок. Многоуровневая защита от различных способов угона, включая интеллектуальный взлом с применением оборудования последнего поколения. Автоматический запуск двигателя с 3 зонами охраны. Датчик вызова водителя, активируемый снаружи автомобиля, – это альтернатива мобильному телефону для вызова водителя. И одновременно возможность поставить и снять охрану без брелока.;text;/upload/iblock/370/3707a8ae20bee684aeb9d60ecf42fe22.jpg;Классическая система охраны, обеспечивает уверенную связь на значительном расстоянии – до 2000 м. Высокая дальность связи и помехоустойчивость достигнуты благодаря применению радиоканала с FM-модуляцией и функции исправления ошибок. Многоуровневая защита от различных способов угона, включая интеллектуальный взлом с применением оборудования последнего поколения. Автоматический запуск двигателя с 3 зонами охраны. Датчик вызова водителя, активируемый снаружи автомобиля, – это альтернатива мобильному телефону для вызова водителя. И одновременно возможность поставить и снять охрану без брелока.;text;lada-99999_0000007_01okhrannaya-sistema-s-dvustoronney-svyazyu-scher_khan-magicar-7n-s-a_z;500;;lada-99999_0000007_01;Lada;Серый;Защита от угона;Автосигнализация;;
91;Автосигнализация PanDECT X-1800L;46;Y;29.06.2020 13:14:02;;/upload/iblock/39e/39e71d57bfe23476feb1a27bc2b8c46d.jpg;"Условия оплаты:<br>
<ul>
	<li>Наличный расчет;</li>
	<li>Безналичный расчет;</li>
	<li>Наложенный платеж;</li>
	<li>Терминал;</li>
	<li>Сбербанк онлайн;</li>
	<li>Постоплата (предоплата - только на товары под заказ).</li>
</ul>
 <br>
 Условия доставки:<br>
 <br>
<ul>
	<li>Доставка осуществляется по Ростову-на Дону в течении 1-2 рабочих дней после подтверждения заказа.</li>
	<li>Стоимость: от 300 руб.</li>
	<li>При покупке от 7000 руб. доставка БЕСПЛАТНАЯ.</li>
	<li>Адрес пункта самовывоза:&nbsp;ул. Зои Космодемьянской,&nbsp;30. С 10:00 до 18:00, без выходных.</li>
</ul>
 Условия возврата:<br>
<ul>
	<li>Стандартные, в течение 14 дней.</li>
	<li>Условия гарантии:</li>
	<li>На товар - до 5 лет, в зависимости от товара;</li>
	<li>На услугу по установке - до 3 лет в зависимости от установки.</li>
	<li></li>
</ul>
 <br>
<p>
</p>
 <br>";html;/upload/iblock/1af/1af4bc015dd90b76f36f59105bcee987.jpg;"Чтобы сделать систему максимально доступной для тех, кто давно мечтал управлять автомобилем со смартфона из любой точки мира, в комплекте осталась одна Bluetooth-метка для авторизации владельца (напоминаем, что роль второй метки и полноценного брелока выполняет любой современный смартфон на Android или iOS) и новый модуль для автозапуска RMD-4M.<br>
 &nbsp;<br>
 &nbsp;Система поддерживает в полном объеме уникальную в нашем исполнении работу с мобильными приложениями, включая возможность управления системой как со смартфонов, так и с умных часов. При отсутствии мобильной сети или просто на близком расстоянии от автомобиля смартфон переходит в режим управления по Bluetooth. Именно наш фирменный защищенный Bluetooth-интерфейс заслуживает отдельного внимания – при желании к X-1800 L в любой момент можно добавить беспроводные аксессуары для увеличения функционала и противоугонных свойств. Например, GPS/ГЛОНАСС-приемник NAV-035BT превратит вашу микросистему в спутниковый GSM-комплекс, а радиореле BTR-101 спрячется в недрах автомобиля и не даст злоумышленнику даже завести двигатель. При этом никаких проводов в салон тянуть не нужно – все работает по воздуху!<br>
 &nbsp;<br>
 &nbsp;Разумеется, в такой серьезной системе присутствует бесключевой автозапуск всех популярных современных автомобилей. Специализированный порт IMMO-KEY дает возможность использовать все без исключения наши новые алгоритмы обхода штатных иммобилайзеров, включая требующие процедур сервиса Pandora CLONE. Это максимально безопасно, и что очень важно – сохраняет гарантию на ваш автомобиль!<br>
 &nbsp;<br>
 Базовый блок Pandect X-1800 L выполнен в миниатюрных размерах для максимально скрытной установки и потребляет рекордно минимальное количество энергии. Даже при долгих простоях аккумулятор автомобиля сможет запустить двигатель. Также в комплекте идет наша супер-пьезосирена Pandora PS-330 – она очень громкая, небольшая и удобная для установки. И, как все топовые продукты Pandora, максимально энергоэкономична.<br>";html;avtosignalizatsiya-pandect-x_1800l;500;;pandect-x_1800l;PanDECT;Серый;Защита от угона;Автосигнализация;;
12;Модуль подъема стекол, на 2 стекла Mongoose CWM-2;47;Y;02.06.2020 17:17:16;;/upload/iblock/bb2/bb203cbf903fe2454dde62b964d525cf.jpg;Модуль Mongoose CWM-2 предназначен для совместной работы с автомобильной сигнализацией или другим устройством, имеющим выход, на котором появляется импульс отрицательной или положительной полярности, при изменении состояния системы (например, при постановке на охрану). Модуль обеспечивает автоматическое поочередное закрытие стекол или потолочного люка при наличии электрического привода последних.;text;/upload/iblock/bb2/bb203cbf903fe2454dde62b964d525cf.jpg;;text;modul-podema-stekol_-na-2-stekla-mongoose-cwm_2;500;;Mongoose_cwm_2;Mongoose;Черный;Защита от угона;Комплектующие для сигнализаций;;
16;Mystery MAR-979UC Автомобильный mp3/wma ресивер;48;Y;02.06.2020 17:31:33;;/upload/iblock/37e/37ed1396b59a93666e558ce86d2d12f3.jpg;Mystery MAR-979UC Автомобильный mp3/wma ресивер магнитолище с большущщей буквы М;text;/upload/iblock/35c/35c517a27515eb1dc8c27d5e141e33d0.jpg;"- Изменяемая многоцветная
подсветка элементов управления
- Съемная передняя панель
- USB порт на передней панели
- Воспроизведение записей с SD/MMC карт
- AM / FM / УКВ радиоприемник
- Запоминание 30 станций (12 FM, 12 AM, 6 УКВ)
- Совместимость с форматом MP3
- Цифровой энкодер для регулировки громкости
- Повтор/Случайно
- Приглушение звука/тонкомпенсация
- Встроенный эквалайзер (Классика / Рок / Поп)
- Полнофункциональный карточный пульт ДУ
- 2 -канальный линейный выход RCA
- Выходная мощность 4 х 50 Вт
- Аудио вход на передней панели
- Разъем ISO типа";text;mystery-mar_979uc-avtomobilnyy-mp3_wma-resiver;500;;mystery-mar_979uc;Mystery;Черный;Автозвук;Магнитолы;;
17;Kenwood KDC-130UB Автопроигрыватель cd/mp3 kenwood kdc-130ub;49;Y;02.06.2020 17:34:41;;/upload/iblock/07d/07dbc05d0cc88099db9fbdaa94e67e69.jpg;Kenwood KDC-130UBАвтопроигрыватель cd/mp3 kenwood kdc-130ub это крутооаа!;text;/upload/iblock/5d0/5d01a4f48b09b476a6dde64c17bdba1a.jpg;Без слов...;text;kenwood-kdc_130ub-avtoproigryvatel-cd_mp3-kenwood-kdc_130ub;500;;kenwood-kdc_130ub;Kenwood;Черный;Автозвук;Магнитолы;;
14;Pioneer TS-R1350S Автоакустика компонентная;50;Y;02.06.2020 17:24:57;;/upload/iblock/624/6244451f329099e420d2744036e22cef.jpg;"Модельный ряд автомобильной акустики TS-R серии, рассчитанной прежде всего на молодых людей, отличается агрессивным, спортивным дизайном, прочной конструкцией и напористым звучанием.
Драйвер со сверхлегким диффузором из многослойного композитного материала с применением слюды (Multilayer Mica Matrix Cone), обладающим жесткостью и высокой скоростью движения, обеспечивает качество и реалистичность воспроизведения. Данная трехполосная акустика на 30% легче полипропиленовых аналогов, но несмотря на малую массу, диффузор обладает более солидной отдачей по мид-басу. Тканевый подвес с резиновым покрытием способствует повышению чувствительности, а звуковая катушка с алюминиевым сердечником обеспечивает высокую мощность и хорошую теплоотдачу.";text;/upload/iblock/12d/12d1b2418b8f0912513411ea91a12e81.jpg;"• Размер НЧ динамика (см): 13 см;
• Размер твитера (мм): 15,0 мм;
• Размер СЧ динамика (мм): 42,0 мм;
• Материал, из которого изготовлен ВЧ-динамик: Пьезоэлектрический;
• Материал диффузоры: Мультиплеер с Mica Matrix;
• Тип обмотки звуковой катушки: Медь;
Размеры: 129 x 46 мм;
• Вес: 0,68 кг";text;pioneer-ts_r1350s-avtoakustika-komponentnaya;500;;pioneer-ts_r1350s;Pioneer;Черный;Автозвук;Акустика;;
15;Pioneer TS-G170C Акустика;51;Y;02.06.2020 17:28:07;;/upload/iblock/d63/d63f25d08644a59875bedfef087c23e5.jpg;"Обратите внимание на обновленную G-серию
Линейка акустических систем улучшенной G-серии разработана для сбалансированного звучания, с прекрасным соотношением цены и качества. В их прочной конструкции предусмотрено несколько крепежных отверстий, что облегчает установку любой акустической системы G-серии в автомобиль. Благодаря возможности работы с большей мощностью и высокой чувствительности , эта акустическая система может воспроизводить глубокие, эффектные басы и естественный звук на высоких частотах – даже на высоком уровне громкости.
TS-G170С c номинальной мощностью 45 Ватт и максимальной выходной мощностью 300 Ватт - это практичное и доступное решение, чтобы сделать звук в вашем автомобиле еще лучше.
IMPPTMIMPP диффузор позволяет передавать музыку великолепного качества без каких-либо искажений";text;/upload/iblock/411/4118bf21311c8c57c8965d5c2e234c7a.jpg;"Размер 17 см
Вес 0.62 кг
Сопротивление 4 ом
Диаметр установочного отверстия 144 мм
Частотные характеристики 36 - 26,000
Монтажная глубина 50 мм
Чувствительность 91 дБ
Минимальные частотные характеристики (Гц) 72 Гц
2-полосная компонентная
Maximum power 300 Вт
Номинальная входная мощность 45 Вт
Материал НЧ динамика Бесшовный конус из композитного IMPP материала
Размер твитера (мм) 30 мм
Материал ВЧ динамика PEI
Тип звуковой катушки Медный
Тип каркаса звуковой катушки KAPTON
Магниты НЧ динамик: Y35
ВЧ динамик: Неодимовый";text;pioneer-ts_g170c-akustika;500;;pioneer-ts_g170c;Pioneer;Черный;Автозвук;Акустика;;
97;Галогенные лампы Optima Xtreme HB4 +130% light 4200K;52;Y;29.06.2020 14:58:35;;/upload/iblock/540/5404ec254564cccfc3ddf5c9203f0126.jpg;Галогенные лампы Optima Xtreme Hb4 +130% light 4200K - При вождении ночью требуется максимальная освещенность дороги. Чем ярче освещение, тем быстрее вы сможете реагировать на изменение ситуации. Xtreme – наиболее яркая галогенная лампа компании Optima. Благодаря современным технологиям данная лампа обеспечивает до 100% больше яркости, чем у аналогичных продуктов стандартных ламп. Улучшенная структура нити накала и увеличенное давление смеси газов позволили добиться повышенной светоотдачи. Световой луч от этой лампы на 30% длиннее, а излучаемый свет до 20% белее. Увеличение обзора позволяет реагировать на опасности быстрее. Специальное покрытие защищает фары от вредного ультрафиолетового излучения, что делает кварцевое стекло идеальным вариантом для всех условий вождения и гарантирует его долговечность.;text;/upload/iblock/094/0946b71f0a87ec36ee91d02f63e93f42.jpg;"<p>
	 Особенности:
</p>
<ul>
	<li>Яркость +100%</li>
	<li>Дистанция +30%</li>
	<li>Срок службы +10%
	<p>
	</p>
	<p>
 <span style=""color: #ff0000;"">Цена указана за комплект</span>
	</p>
 </li>
</ul>";html;galogennye-lampy-optima-xtreme-hb4-_130_-light-4200k;500;;Xtreme_HB4;Optima;Красный;Автосвет;Галогеновый свет;;
96;Би-линза DXL Q5 ORIGINAL-D 3.0;53;Y;29.06.2020 14:55:52;;/upload/iblock/6ea/6ea87a2994d74eeb52ba9a33d6f223a7.jpg;"Диаметр линзы 3.0 дюйма (76мм)
Размеры: высота 78мм, ширина 104мм, длина 135мм.

Тип используемых ламп: 
D1S/D2S/D4S/D3S
Цена указана за один модуль (1шт)";text;/upload/iblock/152/152c3953da9b654dc3b165e93add4df4.jpg;;text;bi_linza-dxl-q5-original_d-3_0;500;;ORIGINAL_D_3.0;DXL;Черный;Автосвет;Биксеноновые линзы;Биксеноновые линзы;
95;"Светодиодные би-линзы Optima Premium Bi-LED LENS Intellegent Series 3.0""";54;Y;29.06.2020 14:49:02;;/upload/iblock/e59/e5948f3993a873820c9d6914122e5c92.jpg;"Светодиодные би-линзы Optima Premium Bi-LED LENS Intellegent Series 3.0"". Максимальная яркость в режиме ближнего света, превосходный дальний свет, широчайший охват и плотность распределения светового пучка на дороге. Удобной особенностью данных линз является крепежные отверстия аналогичные крепежам штатных линз Hella 3. Комфортный для восприятия белоснежный спектр свечения (5000K). В комплекте проставочные шайбы под штатный цоколь ламп: Н4, Н7, Н11(Н8, Н9), НВ3/НВ4.
Би-линзы не комплектуются блендами (масками) и приобретаются отдельно.

Особенности:

·        Четкая световая граница ближнего света;

·        Совместимость с крепежами Hella 3 и комплектный универсальный кронштейн для установки в рефлекторную фару;

·        Отдельное подключение шторки дальнего света, которое обеспечивает максимальное удобство подключения модулей;

·        Яркий белый свет обеспечивает превосходную видимость в любых погодных условиях;

·        Двойной металлический отражатель для отличного баланса освещения как при ближнем так и при дальнем свете;

Расширенная гарантия на оригинальный модуль - 3 лет!

Цена указана за одну штуку.";text;/upload/iblock/51f/51f0747ebf796e4c7496e55daa78c0fd.jpg;"ТОРГОВАЯ МАРКА Optima Automotive<br>
 НАПРЯЖЕНИЕ 12V/24V<br>
 МОЩНОСТЬ Ближний свет - 37W Дальний свет - 40W<br>
 ТИП МОДУЛЯ Универсальный<br>
 ЦВЕТ Белый<br>
 ДИАМЕТР Линзы - 3,0 дюйма Бленда - 3,0 дюйма<br>
 ЦЕНА УКАЗАНА ЗА 1 штуку<br>
 СТРАНА ИЗГОТОВЛЕНИЯ Китай<br>
 ГАРАНТИЯ 3 года<br>
 NANOLED<br>
МОЩНОСТЬ	2,8А";html;svetodiodnye-bi_linzy-optima-premium-bi_led-lens-intellegent-series-3_0;500;;Optima_S_3.0;Optima;Серый;Автосвет;Bi-led линзы светодиодные;;
11;Видеокамера заднего обзора Sho-Me CA-9030D;55;Y;02.06.2020 17:07:24;;/upload/iblock/dfa/dfa7457ee889293af01fe3fd2c267d18.jpg;ho-Me CA-9030D - это миниатюрная камера заднего вида, которая может быть установлена на любую модель автомобиля. Камера имеет накладной способ установки и выполнена в компактном корпусе из прочного пластика. Стоит обратить отдельное внимание на то, что камера подходит для мониторов с системой NTSC и PAL. На проводе питания есть специальная петелька, перерезав которую можно поменять систему цветности с NTSC на PAL. Камера обладает достаточно высокой светочувствительностью - 0.2 Люкс, работает в широком диапазоне.;text;/upload/iblock/dfa/dfa7457ee889293af01fe3fd2c267d18.jpg;ho-Me CA-9030D - это миниатюрная камера заднего вида, которая может быть установлена на любую модель автомобиля. Камера имеет накладной способ установки и выполнена в компактном корпусе из прочного пластика.<br>;text;videokamera-zadnego-obzora-sho_me-ca_9030d;500;;;;;Автоэлектроника;Системы парковки;Камеры парковки;
93;StarLine M15 ЭКО;56;Y;29.06.2020 14:11:22;;/upload/iblock/628/628d06adcd555723fd5d70c2de2c79e9.png;Маяк M15 ЭКО знает, где ваш автомобиль. Инновационный автономный поисковый Маяк M15 ЭКО с рекордной энергоэкономичностью помогает найти ваш автомобиль, где бы он ни оказался. Маяк M15ЭКО GPS-ГЛОНАСС вобрал в себя наилучшие свойства и характеристики мировых аналогов в качестве стандарта.;html;/upload/iblock/cf8/cf866e76f541abda5da9e6b50dea77cd.png;"ГИПЕРЧУВСТВИТЕЛЬНОСТЬ<br>
 Уникальная GPS-ГЛОНАСС антенна обеспечивает сверхчувствительность и почти моментальное определение точных координат даже в самых сложных условиях<br>
 <br>
 РЕКОРДНАЯ ЭНЕРГОЭКОНОМИЧНОСТЬ<br>
 Применение инновационных запатентованных решений обеспечивает срок службы батареек до 3 лет<br>
 <br>
 ВОДОСТОЙКОСТЬ<br>
 Благодаря водонепроницаемому корпусу и специальной мембране микрофона, маяк можно спрятать в самом неожиданном для угонщика месте как внутри, так и снаружи автомобиля, катера, грузовика<br>
 Удобный сервис<br>
 <br>
 ТЕЛЕМАТИКА<br>
 Простота и удобство настройки, автоматическое обновление программного обеспечения благодаря телематическому сервису&nbsp;<a href=""http://www.mayak.mobi/"">www.mayak.mobi</a><br>
 <br>
 ИНТЕЛЛЕКТ<br>
Мощный ARM процессор позволяет реализовать элементы искусственного интеллекта. Автоматическая установка внутреннего времени, параметров подключения к сети Интернет, автоматический контроль баланса и уведомление о необходимости пополнения счета";html;starline-m15-eko;500;;starline-m15-eko;StarLine;Черный;Защита от угона;GSM и GPS охрана и мониторинг;GPS маяки;
94;StarLine M17;57;Y;29.06.2020 14:39:33;;/upload/iblock/a47/a47ceb594f32e996a2b142d2e6dc1f50.png;Маяк M17 знает, где ваш автомобиль. Инновационный автономный охранно-мониторинговый Маяк M17 GPS-ГЛОНАСС вобрал в себя наилучшие свойства и характеристики мировых аналогов в качестве стандарта.;text;/upload/iblock/5cd/5cdd6fa5248141a899a05c2137ba64b3.png;"ГИПЕРЧУВСТВИТЕЛЬНОСТЬ
Уникальная GPS-ГЛОНАСС антенна обеспечивает сверхчувствительность и почти моментальное определение точных координат даже в самых сложных условиях
Удобный сервис

ТЕЛЕМАТИКА
Простота и удобство настройки, автоматическое обновление программного обеспечения благодаря телематическому сервису www.mayak.mobi

ИНТЕЛЛЕКТ
Мощный ARM процессор позволяет реализовать элементы искусственного интеллекта. Автоматическая установка внутреннего времени, параметров подключения к сети Интернет, автоматический контроль баланса и уведомление о необходимости пополнения счета

УНИВЕРСАЛЬНОСТЬ
Удобство интеграции в бортовую сеть легкового автомобиля (+12V) и грузового транспорта (+24V).

БЕСПЛАТНЫЙ МОНИТОРИНГ
- Неограниченное количество транспортных средств
- Предустановленная SIM-карта с бесплатным роумингом и безлимитным интернет-трафиком
- В случае потери сигнала GSM черный ящик сохраняет информацию о маршруте";text;starline-m17;500;;starline-m17;StarLine;Черный;Защита от угона;GSM и GPS охрана и мониторинг;GPS маяки;
